,id,url,author,title,rating,archive_warnings,categories,fandoms,relationships,characters,additional_tags,language,series,published,completed,words,chapters,comments,kudos,bookmarks,hits,standardised_ttr_250,standardised_ttr_500,standardised_ttr_1000,standardised_ttr_4000,honore_h_250,honore_h_500,honore_h_1000,honore_h_4000,sentence_length_mean,sentence_length_median,lexical_density,complexity_stats,known_word_ratio
10,10478904,https://archiveofourown.org/works/10478904?view_full_work=true,['lourthor'],A Prince in Disguise,General Audiences,['No Archive Warnings Apply'],['M/M'],['Yuri!!! on Ice (Anime)'],['Katsuki Yuuri/Victor Nikiforov'],"['Katsuki Yuuri', 'Victor Nikiforov', 'Yuri Plisetsky']","['POV Outsider', 'Retirement AU', 'Post-Series']",English,,2017-03-28,,5182,1/1,223,11985,1979,97787,0.6085714285714285,0.5086,0.4164,0.25325,2008.621155945078,1971.569628872628,1931.334666105785,1818.58707476696,16.940104166666668,16.0,0.3511104160150141,"{'total_words': 5408, 'known_words': 4682, 'unknown_words': 726, 'known_word_ratio': 0.8657544378698225, 'average_rank': 648.2846928352546}",0.8657544378698225
11,10547500,https://archiveofourown.org/works/10547500?view_full_work=true,['orphan_account'],For Now You Love Me,General Audiences,['No Archive Warnings Apply'],['M/M'],['Harry Potter - J. K. Rowling'],"['Regulus Black/James Potter', 'Sirius Black/Remus Lupin']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Regulus Black', 'Peter Pettigrew', 'Lily Evans', 'Marlene McKinnon']","['Alternate Universe-No Voldemort', 'fake dating au', 'fake relationships', 'Enemies to Lovers', 'established relationships - Freeform', 'Pining', 'Slow Burn', 'Fluff']",English,,2017-04-05,2017-06-16,14068,5/5,151,9392,1383,105307,0.6190163934426229,0.5238,0.4303333333333333,0.2741666666666666,2186.127297671,2157.8504407987334,2081.4583327704954,2078.788514317613,15.537128712871286,13.0,0.3291799319354485,"{'total_words': 15318, 'known_words': 12481, 'unknown_words': 2837, 'known_word_ratio': 0.8147930539234887, 'average_rank': 768.6232995973446}",0.8147930539234887
12,10554512,https://archiveofourown.org/works/10554512?view_full_work=true,['DanaiaCake'],Oikawa's Last Wish/es,General Audiences,['Major Character Death'],['M/M'],['Haikyuu!!'],"['Iwaizumi Hajime/Oikawa Tooru', 'Hanamaki Takahiro/Matsukawa Issei']","['Iwaizumi Hajime', 'Oikawa Tooru', 'Hanamaki Takahiro', 'Matsukawa Issei', 'Yahaba Shigeru', 'Kyoutani Kentarou', 'Watari Shinji', 'Kindaichi Yuutarou', 'Kunimi Akira', 'Original Characters']","['angst with fluff', 'Fluff and Angst', 'Slow Burn', 'This will hurt', 'Sorry Not Sorry', 'Wishes', 'Love Confessions', 'iwaoi - Freeform', 'Sickness', 'Sad', 'Sadsadsadsad', 'You Have Been Warned', 'Not Beta Read', ""I didn't even read this because it hurts me""]",English,Part 5 of DanaiaCake’s Haikyuu Angst Fics,2017-04-06,,5152,1/1,620,10936,2432,402378,0.6145454545454545,0.518909090909091,0.432,0.27125,2187.254465320972,2109.4515989148463,2027.7109503296529,1999.7875243357112,16.584382871536523,15.0,0.3429327521793275,"{'total_words': 5502, 'known_words': 4708, 'unknown_words': 794, 'known_word_ratio': 0.8556888404216648, 'average_rank': 723.1516369902355}",0.8556888404216648
13,10560054,https://archiveofourown.org/works/10560054?view_full_work=true,['peradi'],wonderterror,Not Rated,['Creator Chose Not To Use Archive Warnings'],"['F/M', 'M/M']","['Star Wars - All Media Types', 'Star Wars Original Trilogy']","['Leia Organa/Han Solo', 'Luke Skywalker/Han Solo', 'Obi-Wan Kenobi/Anakin Skywalker', 'Padmé Amidala/Anakin Skywalker']","['Leia Organa', 'Luke Skywalker', 'Obi-Wan Kenobi', 'Anakin Skywalker', 'Padmé Amidala', 'Han Solo']","['a tumblr thing that got out of control', 'what if the skywalkers were eldritch horrors', ""i mean they are the children of the force so they're probably not that human really"", 'Body Horror', 'Cthulhu Mythos', 'han solo is force sensitive', 'Skywalker Family Drama']",English,,2017-04-07,2017-04-17,6544,3/3,319,8454,2262,79698,0.6140740740740741,0.5304615384615384,0.4481666666666666,0.3045,2283.07442711596,2245.748316516929,2180.84871010908,2317.0074453312545,11.477027027027027,8.0,0.3543695155667749,"{'total_words': 6941, 'known_words': 5784, 'unknown_words': 1157, 'known_word_ratio': 0.8333093214234261, 'average_rank': 773.0236305048335}",0.8333093214234261
14,1056312,https://archiveofourown.org/works/1056312?view_full_work=true,['stereobone'],I'm Only Going to Heaven (If it Feels Like Hell),Explicit,['No Archive Warnings Apply'],['M/M'],['Shingeki no Kyojin | Attack on Titan'],['Levi/Erwin Smith'],[],"['Alternate Universe - Modern Setting', 'Sugar Daddy', '中文翻译 | Translation in Chinese']",English,,2013-11-24,,16990,1/1,393,13043,2851,184123,0.603027027027027,0.5125405405405405,0.4293333333333333,0.2754375,2202.356068325107,2226.182043099706,2189.8325454630303,2081.945243776076,13.36182669789227,12.0,0.3481501681665303,"{'total_words': 18664, 'known_words': 15457, 'unknown_words': 3207, 'known_word_ratio': 0.8281718816973853, 'average_rank': 776.775760485314}",0.8281718816973853
15,10566861,https://archiveofourown.org/works/10566861?view_full_work=true,['dirgewithoutmusic'],the family potter,General Audiences,['Major Character Death'],[],['Harry Potter - J. K. Rowling'],"['James Potter/Lily Evans Potter', 'Dudley Dursley & Harry Potter', 'Petunia Evans Dursley & Lily Evans Potter', 'Dudley Dursley & Ginny Weasley']","['Dudley Dursley', 'Lily Evans Potter', 'James Potter', 'Harry Potter', 'Remus Lupin', 'Ginny Weasley']","['if petunia and vernon died', ""and lily and james didn't"", 'a dudley raised in magic', 'and also not by assholes', 'Auror Lily Potter']",English,Part 12 of boy with a scar,2017-04-09,,9751,1/1,1020,17897,3614,176617,0.6423414634146342,0.5571,0.4749,0.325625,2509.955228368727,2494.614146450592,2484.132352553986,2386.686710852401,18.164933135215453,16.0,0.3954053827450323,"{'total_words': 10364, 'known_words': 8292, 'unknown_words': 2072, 'known_word_ratio': 0.8000771902740255, 'average_rank': 755.5763853798214}",0.8000771902740255
16,1064254,https://archiveofourown.org/works/1064254?view_full_work=true,['museaway'],Please don't touch the Vulcans,Mature,['No Archive Warnings Apply'],['M/M'],['Star Trek: Alternate Original Series (Movies)'],['James T. Kirk/Spock'],"['Spock Prime', 'Sarek', 'James T. Kirk', 'Spock (Star Trek)']","['New Vulcan', 'domestic fic', 'convenient bed sharing', 'Mind Meld', 'Tarsus IV reference', 'Jealousy', 'First Time', 'Christmas', 'gratuitous Tumblr post reference', 'Prompt Fill', 'K/S Advent Calendar', 'Cooking', 'Hot Chocolate', 'UST', 'so much UST']",English,,2013-12-01,,17690,1/1,392,13844,3102,181235,0.62928,0.5436216216216216,0.4617222222222222,0.317,2530.49962607768,2602.997000100305,2583.500523683669,2430.11740935666,15.724814063556456,14.0,0.3603440670489634,"{'total_words': 18918, 'known_words': 15432, 'unknown_words': 3486, 'known_word_ratio': 0.8157310497938471, 'average_rank': 808.7282301797159}",0.8157310497938471
17,1066271,https://archiveofourown.org/works/1066271?view_full_work=true,['Rena'],"but monsters are always hungry, darling",Explicit,['No Archive Warnings Apply'],['M/M'],['Teen Wolf (TV)'],['Derek Hale/Stiles Stilinski'],"['Derek Hale', 'Stiles Stilinski', 'Lydia Martin', 'Sheriff Stilinski']","['Alternate Universe', 'Alternate Universe - Werewolves Are Known', 'Barebacking', 'hooker!Derek', 'Plot What Plot/Porn Without Plot', 'Or Is It?', ""maybe there's a little plot"", 'mentions of Xenophobia']",English,,2013-12-01,,7071,1/1,164,12919,1817,158674,0.619741935483871,0.5284,0.439,0.29525,2197.0686939018374,2239.471396748618,2174.022599159332,2272.6850637959387,19.48529411764705,17.0,0.3341553637484586,"{'total_words': 7798, 'known_words': 6502, 'unknown_words': 1296, 'known_word_ratio': 0.833803539369069, 'average_rank': 763.6887451222017}",0.833803539369069
18,1069420,https://archiveofourown.org/works/1069420?view_full_work=true,['lady_ragnell'],No Matter How Far Away You Roam,Explicit,['No Archive Warnings Apply'],['M/M'],['Merlin (TV)'],"['Merlin/Arthur Pendragon (Merlin)', 'Minor or Background Relationship(s)', 'Ygraine de Bois/Nimueh (Merlin)']","['Merlin (Merlin)', 'Arthur Pendragon (Merlin)', 'Ygraine de Bois (Merlin)', 'Morgana (Merlin)', 'Freya (Merlin)', 'Nimueh (Merlin)', 'Hunith (Merlin)', 'Uther Pendragon (Merlin)', 'Gaius (Merlin)', 'Morgause (Merlin)']","['Alternate Universe - Modern Setting', 'Christmas Fluff', 'Fake/Pretend Relationship', 'Family', 'Meet the Family', 'Alive Ygraine', ""Don't copy to another site""]",English,,2013-12-04,,11537,1/1,737,22663,4288,268356,0.6384,0.53864,0.439,0.2759166666666667,2187.6380019088647,2121.4623105601654,2030.8950757915684,2080.4531449961046,22.525602409638555,18.0,0.3407592476924144,"{'total_words': 12683, 'known_words': 10428, 'unknown_words': 2255, 'known_word_ratio': 0.8222029488291414, 'average_rank': 716.0066057897805}",0.8222029488291414
19,1075979,https://archiveofourown.org/works/1075979?view_full_work=true,['stilinskisparkles'],"But, Doctor!",Mature,['Creator Chose Not To Use Archive Warnings'],['M/M'],['Teen Wolf (TV)'],"['Derek Hale/Stiles Stilinski', 'Allison Argent/Scott McCall']","['Derek Hale', 'Stiles Stilinski', 'Scott McCall', 'Allison Argent', 'Erica Reyes', 'Vernon Boyd', 'Bobby Finstock', 'Isaac Lahey', 'Danny Māhealani', 'Jackson Whittemore', 'Ethan (Teen Wolf)', 'Cora Hale']","['Alternate Universe - Hospital', 'Fluff and Angst', 'Oblivious Stiles', 'Oblivious Derek', 'Sex']",English,,2013-12-11,,30269,1/1,307,12963,4413,245385,0.6458181818181818,0.5517272727272727,0.463,0.3055,2449.832787344502,2365.42100167376,2294.6990826913766,2229.0986346647865,21.16872224963,19.0,0.3431712962962963,"{'total_words': 33163, 'known_words': 25864, 'unknown_words': 7299, 'known_word_ratio': 0.7799053161656062, 'average_rank': 821.8000989995832}",0.7799053161656062
20,10776060,https://archiveofourown.org/works/10776060?view_full_work=true,['kiaronna'],Just Hold On (We're Going Home),Mature,['No Archive Warnings Apply'],['M/M'],['Yuri!!! on Ice (Anime)'],"['Katsuki Yuuri/Victor Nikiforov', 'Katsuki Yuuri & Yuri Plisetsky']","['Katsuki Yuuri', 'Victor Nikiforov', 'Yuri Plisetsky', 'Yakov Feltsman', 'Mila Babicheva', 'Lilia Baranovskaya']","['Fluff and Angst', 'Domestic Fluff', 'Roommates', 'Alternate Universe', 'Alternate Universe - Canon Divergence', 'Miscommunication', 'Saint Petersburg Rink', 'Happy Ending', 'Insecurity', 'Alternate Universe - Role Reversal', ""Don't copy to another site""]",English,,2017-05-01,2017-05-08,23046,2/2,633,13875,4371,143453,0.63544,0.54456,0.45972,0.3092916666666667,2302.9344642760525,2311.241378234383,2318.0600112945526,2318.895547230836,15.37141444114738,13.0,0.3492111044537647,"{'total_words': 25170, 'known_words': 20060, 'unknown_words': 5110, 'known_word_ratio': 0.7969805323798173, 'average_rank': 812.7264068094305}",0.7969805323798173
21,1078856,https://archiveofourown.org/works/1078856?view_full_work=true,['Yuu_chi'],I'll tabletop you any day,Mature,['Creator Chose Not To Use Archive Warnings'],['M/M'],['Avatar: The Last Airbender'],['Sokka/Zuko (Avatar)'],"['Sokka (Avatar)', 'Zuko (Avatar)', 'Katara (Avatar)', 'Aang (Avatar)', 'Suki (Avatar)']","['Alternate Universe', 'Alternate Universe - Coffee Shops & Cafés', 'boys being oblivious morons', ""sokka's probably not a stalker"", 'Alternate Universe - Modern Setting', 'being massive nerds', 'star wars conversations double as sweet pickup lines']",English,,2013-12-11,,12245,1/1,327,16277,2822,145621,0.6203018867924528,0.5256923076923077,0.435,0.2844166666666666,2238.8010458720323,2190.969212566453,2110.5797475225304,2177.35723133558,21.2865090403338,17.0,0.3465299790921967,"{'total_words': 13275, 'known_words': 11174, 'unknown_words': 2101, 'known_word_ratio': 0.8417325800376648, 'average_rank': 777.8525079024274}",0.8417325800376648
22,10837728,https://archiveofourown.org/works/10837728?view_full_work=true,['PitViperOfDoom'],Riddles in the Heart,Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Midoriya Izuku/Todoroki Shouto'],"['Midoriya Izuku', 'Todoroki Shouto', 'Yagi Toshinori | All Might', 'Todoroki Enji | Endeavor', 'Iida Tenya', 'Uraraka Ochako', 'Bakugou Katsuki', 'Kirishima Eijirou', 'Kaminari Denki']","['Alternate Universe - Royalty', 'Alternate Universe - Fantasy', 'Engagement Challenge', ""endeavor's a+ parenting""]",English,,2017-05-06,2017-05-10,18847,3/3,632,19037,3609,177278,0.63625,0.53755,0.44435,0.28485,2300.833803315798,2220.668347183759,2132.5739443660013,2050.73817468045,14.199666295884317,13.0,0.3344321608040201,"{'total_words': 20196, 'known_words': 16998, 'unknown_words': 3198, 'known_word_ratio': 0.8416518122400475, 'average_rank': 802.6837403935139}",0.8416518122400475
23,10901358,https://archiveofourown.org/works/10901358?view_full_work=true,"['EdenDaphne (edelet)', 'Maerynn']",Under Lock and Key,Teen And Up Audiences,"['No Archive Warnings Apply', 'Creator Chose Not To Use Archive Warnings']",['F/M'],['Miraculous Ladybug'],['Adrien Agreste/Marinette Dupain-Cheng'],"['Adrien Agreste', 'Marinette Dupain-Cheng', 'Manon (Miraculous Ladybug)']","['17 years old', 'Fluff', 'Blush Fest', 'stuck together', 'Handcuffed Together', 'Sleepovers', 'Meeting the Parents', ""handcuffs are involved but it's 100 percent innocent"", 'adrienette - Freeform', 'lots and lots of Adrienette XD', 'also some steampunk influences later on', 'eventual identity reveal', 'cavity inducing fluff', 'LadyNoir - Freeform', 'Marichat', 'ladrien', 'all sides of the love square are included in some way lol', 'Kwami Shenanigans']",English,,2017-05-14,2019-06-12,34972,10/10,2100,24809,3345,547999,0.6684625850340136,0.5821369863013699,0.4964722222222222,0.3330833333333333,2651.941206843356,2611.7223240796548,2539.983891857219,2271.001463990373,19.18325295922841,17.0,0.3617353963919811,"{'total_words': 36950, 'known_words': 30614, 'unknown_words': 6336, 'known_word_ratio': 0.8285250338294993, 'average_rank': 787.3122178919788}",0.8285250338294993
24,10966704,https://archiveofourown.org/works/10966704?view_full_work=true,['Ionaperidot'],Homecoming,Not Rated,['No Archive Warnings Apply'],['Gen'],['Batman - All Media Types'],[],"['Bruce Wayne', 'Jason Todd', 'Dick Grayson', 'Tim Drake', 'Alfred Pennyworth', 'Joker', 'Selina Kyle', 'Jim Gordon', 'Barbara Gordon']","['Dad Bruce Wayne', 'just pretend Bruce cares more about his kids than Gotham', 'and also someone has the good sense to say something when a body disappears from the cemetary', 'also Clark and Ollie and Roy show up', 'no one is Robin', 'Catatonic Jason Todd', 'the joker dies']",English,,2017-05-22,2017-05-25,12276,4/4,611,7297,1902,65907,0.6319245283018868,0.531,0.4367692307692308,0.2720833333333333,2227.2990429030056,2087.7854380101853,2031.5835027735363,1965.872344791452,15.529411764705882,12.0,0.3407202216066482,"{'total_words': 13473, 'known_words': 11149, 'unknown_words': 2324, 'known_word_ratio': 0.8275068655830179, 'average_rank': 707.3085742163679}",0.8275068655830179
25,10990518,https://archiveofourown.org/works/10990518?view_full_work=true,['monpetitpois'],The Crown Hangs Heavy,Teen And Up Audiences,['Graphic Depictions Of Violence'],['Gen'],['Avatar: The Last Airbender'],['Hakoda & Zuko (Avatar)'],"['Zuko (Avatar)', 'Hakoda (Avatar)']","['hakoda is a good father', 'ozai is not', 'and zuko needs more adult guidance in his life', 'Warning: child abuse', 'this is a zuko story after all', 'Canon Compliant', 'tag to The Boiling Rock']",English,,2017-05-24,,5807,1/1,257,16266,3112,103822,0.6448,0.552,0.4615,0.31325,2424.7312600472137,2381.684983399743,2282.604828255328,2211.158340222945,12.45873015873016,11.0,0.3450500263296472,"{'total_words': 6329, 'known_words': 5163, 'unknown_words': 1166, 'known_word_ratio': 0.8157686838363091, 'average_rank': 753.6483531137485}",0.8157686838363091
